year;population;violent_crime;mansloughter;rape;robbery;assault;property_crime;burglary;larceny;gta
1994;260327021.00;1857670.00;23326.00;102216.00;618949.00;1113179.00;12131873.00;2712774.00;7879812.00;1539287.00
1995;262803276.00;1798792.00;21606.00;97470.00;580509.00;1099207.00;12063935.00;2593784.00;7997710.00;1472441.00
1996;265228572.00;1688540.00;19645.00;96252.00;535594.00;1037049.00;11805323.00;2506400.00;7904685.00;1394238.00
1997;267783607.00;1636096.00;18208.00;96153.00;498534.00;1023201.00;11558475.00;2460526.00;7743760.00;1354189.00
1998;270248003.00;1533887.00;16974.00;93144.00;447186.00;976583.00;10951827.00;2332735.00;7376311.00;1242781.00
1999;272690813.00;1426044.00;15522.00;89411.00;409371.00;911740.00;10208334.00;2100739.00;6955520.00;1152075.00
2000;281421906.00;1425486.00;15586.00;90178.00;408016.00;911706.00;10182584.00;2050992.00;6971590.00;1160002.00
2001;285317559.00;1439480.00;16037.00;90863.00;423557.00;909023.00;10437189.00;2116531.00;7092267.00;1228391.00
2002;287973924.00;1423677.00;16229.00;95235.00;420806.00;891407.00;10455277.00;2151252.00;7057379.00;1246646.00
2003;290788976.00;1383676.00;16528.00;93883.00;414235.00;859030.00;10442862.00;2154834.00;7026802.00;1261226.00
2004;293656842.00;1360088.00;16148.00;95089.00;401470.00;847381.00;10319386.00;2144446.00;6937089.00;1237851.00
2005;296507061.00;1390745.00;16740.00;94347.00;417438.00;862220.00;10174754.00;2155448.00;6783447.00;1235859.00
2006;299398484.00;1435123.00;17309.00;94472.00;449246.00;874096.00;10019601.00;2194993.00;6626363.00;1198245.00
2007;301621157.00;1422970.00;17128.00;92160.00;447324.00;866358.00;9882212.00;2190198.00;6591542.00;1100472.00
2008;304059724.00;1394461.00;16465.00;90750.00;443563.00;843683.00;9774152.00;2228887.00;6586206.00;959059.00
2009;307006550.00;1325896.00;15399.00;89241.00;408742.00;812514.00;9337060.00;2203313.00;6338095.00;795652.00
2010;309330219.00;1251248.00;14722.00;85593.00;369089.00;781844.00;9112625.00;2168459.00;6204601.00;739565.00
2011;311587816.00;1206005.00;14661.00;84175.00;354746.00;752423.00;9052743.00;2185140.00;6151095.00;716508.00
2012;313873685.00;1217057.00;14856.00;85141.00;355051.00;762009.00;9001992.00;2109932.00;6168874.00;723186.00
2013;316128839.00;1163146.00;14196.00;79770.00;345031.00;724149.00;8632512.00;1928465.00;6004453.00;699594.00